round,item_name,n_reached,usage_matches,usage_rate,wins_with,wins_without,winrate_with,winrate_without,delta_winrate,wilson_with_lo,wilson_with_hi,wilson_without_lo,wilson_without_hi
2,Puzzle Badge,887,32,0.036076662908680945,21,626,0.02367531003382187,0.705749718151071,-0.6820744081172492,0.015536354674713683,0.03592240073141015,0.6749239310381375,0.7348009852657261
2,Shelly,887,30,0.033821871476888386,19,628,0.02142051860202931,0.7080045095828635,-0.6865839909808342,0.013755340276128753,0.033213279060911635,0.677235973532983,0.736979078839964
2,Amulet of Fortune,887,21,0.02367531003382187,16,631,0.018038331454340473,0.7113866967305524,-0.693348365276212,0.011133185224058038,0.029100230009357193,0.6807056946716359,0.7402445618049365
2,Leather Boots,887,18,0.020293122886133032,14,633,0.015783540022547914,0.713641488162345,-0.6978579481397971,0.009424767195352334,0.026318511968979462,0.6830199558929204,0.7424204366527354
2,Pineapple,887,19,0.02142051860202931,14,633,0.015783540022547914,0.713641488162345,-0.6978579481397971,0.009424767195352334,0.026318511968979462,0.6830199558929204,0.7424204366527354
2,Amulet of Feasting,887,15,0.016910935738444193,12,635,0.013528748590755355,0.7158962795941376,-0.7023675310033822,0.007755614027583782,0.02349752906766458,0.6853351154216037,0.7445954131931355
2,Amulet of Energy,887,19,0.02142051860202931,11,636,0.012401352874859075,0.7170236753100339,-0.7046223224351748,0.006938539556155074,0.022069535504551565,0.6864930340425824,0.7456825626066984
2,Flame,887,22,0.02480270574971815,11,636,0.012401352874859075,0.7170236753100339,-0.7046223224351748,0.006938539556155074,0.022069535504551565,0.6864930340425824,0.7456825626066984
2,Magic Staff,887,15,0.016910935738444193,11,636,0.012401352874859075,0.7170236753100339,-0.7046223224351748,0.006938539556155074,0.022069535504551565,0.6864930340425824,0.7456825626066984
2,Wolf Badge,887,14,0.015783540022547914,11,636,0.012401352874859075,0.7170236753100339,-0.7046223224351748,0.006938539556155074,0.022069535504551565,0.6864930340425824,0.7456825626066984
2,Claws of Attack,887,13,0.014656144306651634,10,637,0.011273957158962795,0.7181510710259301,-0.7068771138669673,0.006135081494683484,0.02062792553148144,0.6876511796479603,0.7467694850358624
2,Strong Health Potion,887,12,0.013528748590755355,10,637,0.011273957158962795,0.7181510710259301,-0.7068771138669673,0.006135081494683484,0.02062792553148144,0.6876511796479603,0.7467694850358624
2,Pestilence Flask,887,15,0.016910935738444193,9,638,0.010146561443066516,0.7192784667418264,-0.7091319052987599,0.005347125335553086,0.019170813656070117,0.6888095530591157,0.7478561796592486
2,Rainbow Badge,887,15,0.016910935738444193,9,638,0.010146561443066516,0.7192784667418264,-0.7091319052987599,0.005347125335553086,0.019170813656070117,0.6888095530591157,0.7478561796592486
2,Hungry Blade,887,8,0.009019165727170236,8,639,0.009019165727170236,0.7204058624577226,-0.7113866967305524,0.004577042787255633,0.01769582816982585,0.6899681551066883,0.7489426456462178
2,Oil Lamp,887,13,0.014656144306651634,8,639,0.009019165727170236,0.7204058624577226,-0.7113866967305524,0.004577042787255633,0.01769582816982585,0.6899681551066883,0.7489426456462178
2,Pandamonium,887,9,0.010146561443066516,8,639,0.009019165727170236,0.7204058624577226,-0.7113866967305524,0.004577042787255633,0.01769582816982585,0.6899681551066883,0.7489426456462178
2,Wand of Equilibrium,887,12,0.013528748590755355,8,639,0.009019165727170236,0.7204058624577226,-0.7113866967305524,0.004577042787255633,0.01769582816982585,0.6899681551066883,0.7489426456462178
