A,B,nAB,nA,nB,M,pAB,pA,pB,lift,pmi
Cauldron,Strong Pestilence Flask,42,121,111,887,0.04735062006764374,0.13641488162344984,0.12514092446448705,2.7737324100960463,1.4718286134551237
Prismatic Sword,Shiny Shell,20,37,173,887,0.02254791431792559,0.04171364148816235,0.19503945885005636,2.771441962193407,1.4706367959227518
Amulet of Alchemy,Heavy Drinking,28,102,88,887,0.03156708004509583,0.11499436302142052,0.0992108229988726,2.7669340463458107,1.468288255749875
Blood Manipulation,The Lovers,22,114,62,887,0.02480270574971815,0.12852311161217586,0.06989853438556934,2.760894170911149,1.4651355883867445
Cursed Dagger,White-Eyes Blue Dragon,37,178,67,887,0.04171364148816235,0.20067643742953778,0.07553551296505073,2.751886634244508,1.4604210385058436
Hammer,Holo Fire Lizard,22,54,132,887,0.02480270574971815,0.060879368658399095,0.1488162344983089,2.7376543209876543,1.452940291416439
Gloves of Haste,King Goobert,27,111,79,887,0.030439684329199548,0.12514092446448705,0.08906426155580609,2.7310981867943886,1.4494811819373232
Amulet of Alchemy,Strong Stone Skin Potion,27,102,86,887,0.030439684329199548,0.11499436302142052,0.09695603156708005,2.7301641586867302,1.4489876997909388
Healing Herbs,Nocturnal Lock Lifter,81,140,188,887,0.09131905298759865,0.15783540022547915,0.21195039458850057,2.7297492401215804,1.4487684285630846
Health Potion,Smelly Wall,32,120,87,887,0.036076662908680945,0.13528748590755355,0.09808342728297632,2.7187739463601535,1.4429562028438172
Buy the Holy Light,Heart Container,24,49,160,887,0.02705749718151071,0.0552423900789177,0.18038331454340473,2.7153061224489794,1.4411148560196494
Vampiric Gloves,Vampiric Potion,36,123,96,887,0.040586245772266064,0.1386696730552424,0.10822998872604284,2.7042682926829267,1.43523828968298
Box of Riches,Regular Ruby,32,101,104,887,0.036076662908680945,0.11386696730552424,0.11724915445321307,2.702208682406702,1.4341390934081768
Bloody Dagger,Cursed Dagger,35,65,178,887,0.03945885005636979,0.07328072153325817,0.20067643742953778,2.68323249783924,1.4239720672511784
Pestilence Flask,Vampiric Potion,22,76,96,887,0.02480270574971815,0.08568207440811725,0.10822998872604284,2.6746162280701755,1.4193318987736194
Amulet of Alchemy,Cauldron,37,102,121,887,0.04171364148816235,0.11499436302142052,0.13641488162344984,2.6591314211635066,1.4109550806839235
Strong Demonic Flask,Strong Health Potion,49,126,130,887,0.0552423900789177,0.14205186020293123,0.14656144306651633,2.6534188034188038,1.4078524018879013
Cauldron,Strong Health Potion,47,121,130,887,0.05298759864712514,0.13641488162344984,0.14656144306651633,2.650286077558805,1.4061480956756525
Box of Riches,Regular Emerald,25,101,83,887,0.02818489289740699,0.11386696730552424,0.0935738444193912,2.645234402958368,1.403395569977069
Demonic Flask,Strong Demonic Flask,68,181,126,887,0.07666290868094701,0.2040586245772266,0.14205186020293123,2.6447426115934407,1.4031273249682816
Blood Amulet,Nocturnal Lock Lifter,125,223,188,887,0.14092446448703494,0.25140924464487036,0.21195039458850057,2.6446665394523423,1.4030858273652087
Buy the Holy Light,Djinn Lamp,26,49,178,887,0.029312288613303268,0.0552423900789177,0.20067643742953778,2.644118321485897,1.4027867373605498
Death Scythe,Strong Stone Skin Potion,37,145,86,887,0.04171364148816235,0.16347237880496054,0.09695603156708005,2.631836407377707,1.3960698152129816
Poison Goobert,Snake,20,46,147,887,0.02254791431792559,0.05186020293122886,0.1657271702367531,2.623484176279207,1.3914840882950488
Fancy Fencing Rapier,Ruby Chonk,45,136,112,887,0.05073280721533258,0.15332581736189402,0.1262683201803833,2.6204700630252105,1.3898256273227954
Healing Herbs,Pineapple,31,140,75,887,0.03494926719278467,0.15783540022547915,0.08455467869222097,2.618761904761905,1.388884897247092
Shield of Valor,Shielded,30,107,95,887,0.033821871476888386,0.12063134160090191,0.10710259301014656,2.617806197737334,1.3883582951774875
