A,B,nAB,nA,nB,M,pAB,pA,pB,lift,pmi
Poison Dagger,Ruby Chonk,25,76,112,887,0.02818489289740699,0.08568207440811725,0.1262683201803833,2.605145676691729,1.3813640485745988
Double Rainbow,Nocturnal Lock Lifter,32,58,188,887,0.036076662908680945,0.06538895152198422,0.21195039458850057,2.6030814380044016,1.3802204474958542
Moon Shield,Shielded,37,133,95,887,0.04171364148816235,0.14994363021420518,0.10710259301014656,2.5974673525920067,1.3771056160978765
Heart Container,The Lovers,29,160,62,887,0.03269447576099211,0.18038331454340473,0.06989853438556934,2.59304435483871,1.3746468841543986
Corrupted Armor,Snow Stick,203,315,221,887,0.22886133032694475,0.3551296505073281,0.2491544532130778,2.5865258924082455,1.3710156337075299
Katana,Ruby Whelp,23,59,134,887,0.02593010146561443,0.0665163472378805,0.15107102593010147,2.5804452314697697,1.367620010538463
Sir Sand,Snow Stick,157,245,221,887,0.17700112739571588,0.2762119503945885,0.2491544532130778,2.571964170283498,1.3628705447986886
Manathirst,Nocturnal Lock Lifter,31,57,188,887,0.03494926719278467,0.06426155580608793,0.21195039458850057,2.5659761104889887,1.35950773884556
Demonic Flask,Strong Pestilence Flask,58,181,111,887,0.06538895152198422,0.2040586245772266,0.12514092446448705,2.5606490468368928,1.356509535995325
Blood Amulet,Blood Manipulation,73,223,114,887,0.08229988726042842,0.25140924464487036,0.12852311161217586,2.54704586578554,1.3488249390960345
Crow,Snow Stick,149,235,221,887,0.16798196166854565,0.2649379932356257,0.2491544532130778,2.5447771252527196,1.3475393088067942
Pestilence Flask,Stone Armor,25,76,115,887,0.02818489289740699,0.08568207440811725,0.12965050732807215,2.537185354691075,1.3432289196878278
Blood Amulet,Bloodthorne,79,223,124,887,0.08906426155580609,0.25140924464487036,0.13979706877113868,2.534102415738464,1.341474832170987
Blood Amulet,Magic Torch,28,223,44,887,0.03156708004509583,0.25140924464487036,0.0496054114994363,2.5311863024867507,1.339813697801066
Blood Manipulation,Vampiric Gloves,40,114,123,887,0.04509582863585118,0.12852311161217586,0.1386696730552424,2.530309513621452,1.3393138696844447
Health Potion,Stone Skin Potion,41,120,120,887,0.046223224351747465,0.13528748590755355,0.13528748590755355,2.5254861111111113,1.3365611077021107
Heart Container,Pineapple,34,160,75,887,0.038331454340473504,0.18038331454340473,0.08455467869222097,2.5131666666666668,1.32950635016816
Stone Armor,Strong Stone Skin Potion,28,115,86,887,0.03156708004509583,0.12965050732807215,0.09695603156708005,2.5112234580384225,1.3283904107121947
Miss Fortune,Mr. Struggles,200,203,348,887,0.2254791431792559,0.22886133032694475,0.3923337091319053,2.5111828322292054,1.328367071041884
Amulet of Alchemy,Strong Pestilence Flask,32,102,111,887,0.036076662908680945,0.11499436302142052,0.12514092446448705,2.506977565801095,1.325949085979462
Stone Armor,Stone Skin Potion,39,115,120,887,0.043968432919954906,0.12965050732807215,0.13528748590755355,2.5067391304347826,1.3258118666104184
Regular Ruby,Regular Sapphire,22,104,75,887,0.02480270574971815,0.11724915445321307,0.08455467869222097,2.5017948717948717,1.322963504301388
Gloves of Haste,Snake,46,111,147,887,0.05186020293122886,0.12514092446448705,0.1657271702367531,2.5005822148679284,1.322264039171606
Mr. Struggles,Mrs. Struggles,340,348,347,887,0.3833145434047351,0.3923337091319053,0.39120631341600903,2.4974328397760774,1.3204458820117764
Ruby Chonk,White-Eyes Blue Dragon,21,112,67,887,0.02367531003382187,0.1262683201803833,0.07553551296505073,2.4822761194029854,1.3116636045644479
Heart Container,Nocturnal Lock Lifter,84,160,188,887,0.09470124013528748,0.18038331454340473,0.21195039458850057,2.4769946808510643,1.3085907705148248
Box of Riches,Regular Sapphire,21,101,75,887,0.02367531003382187,0.11386696730552424,0.08455467869222097,2.459009900990099,1.2980775438321486
Miss Fortune,Turbo-Shelly,36,203,64,887,0.040586245772266064,0.22886133032694475,0.07215332581736189,2.457820197044335,1.2973793785582
Miss Fortune,Mrs. Struggles,195,203,347,887,0.21984216459977451,0.22886133032694475,0.39120631341600903,2.45545917860337,1.2959928382872374
Healing Herbs,The Lovers,24,140,62,887,0.02705749718151071,0.15783540022547915,0.06989853438556934,2.4525345622119814,1.2942734676903782
Poison Frog,Snake,47,116,147,887,0.05298759864712514,0.13077790304396844,0.1657271702367531,2.444815857377434,1.289725806014765
Doom Cap,Poison Frog,51,160,116,887,0.05749718151071026,0.18038331454340473,0.13077790304396844,2.4373383620689655,1.285306546257625
Mana Mastery,Mana Orb,42,49,312,887,0.04735062006764374,0.0552423900789177,0.35174746335963925,2.4368131868131866,1.2849956541023675
Health Potion,Heavy Drinking,29,120,88,887,0.03269447576099211,0.13528748590755355,0.0992108229988726,2.4358901515151516,1.2844490751828204
Flawed Ruby,Flawless Ruby,21,183,42,887,0.02367531003382187,0.20631341600901917,0.04735062006764374,2.4234972677595623,1.277090456017021
Mr. Struggles,Snow Stick,210,348,221,887,0.23675310033821872,0.3923337091319053,0.2491544532130778,2.421984709002965,1.2761897567270268
Blood Amulet,Frostbite,28,223,46,887,0.03156708004509583,0.25140924464487036,0.05186020293122886,2.4211347241177616,1.2756833603813502
Mrs. Struggles,Snow Stick,209,347,221,887,0.23562570462232243,0.39120631341600903,0.2491544532130778,2.417397994444951,1.2734550144122538
Amulet of Alchemy,Strong Demonic Flask,35,102,126,887,0.03945885005636979,0.11499436302142052,0.14205186020293123,2.4155773420479303,1.2723680457746183
Box of Riches,Piggybank,22,101,80,887,0.02480270574971815,0.11386696730552424,0.09019165727170236,2.41509900990099,1.272082335299204
Regular Emerald,Regular Topaz,28,83,124,887,0.03156708004509583,0.0935738444193912,0.13979706877113868,2.4131364166342792,1.2709094746248681
Stone Skin Potion,Strong Stone Skin Potion,28,120,86,887,0.03156708004509583,0.13528748590755355,0.09695603156708005,2.4065891472868217,1.2669898660480514
Blood Manipulation,Healing Herbs,43,114,140,887,0.048478015783540024,0.12852311161217586,0.15783540022547915,2.3897869674185466,1.2568820178934539
Heart Container,Vampiric Gloves,53,160,123,887,0.05975197294250282,0.18038331454340473,0.1386696730552424,2.3887703252032524,1.256268148637661
Cauldron,Strong Demonic Flask,41,121,126,887,0.046223224351747465,0.13641488162344984,0.14205186020293123,2.3853469762560673,1.2541991381446367
Flawed Ruby,Flawless Topaz,28,183,57,887,0.03156708004509583,0.20631341600901917,0.06426155580608793,2.3809797718339563,1.2515553639098838
Strong Health Potion,Strong Stone Skin Potion,30,130,86,887,0.033821871476888386,0.14656144306651633,0.09695603156708005,2.3801431127012522,1.25104832217903
Crow,Sir Sand,154,235,245,887,0.17361894024802707,0.2649379932356257,0.2762119503945885,2.3725227963525835,1.2464219494283948
Fancy Fencing Rapier,Leaf Badge,28,136,77,887,0.03156708004509583,0.15332581736189402,0.08680947012401354,2.371657754010695,1.2458958344134272
Ruby Chonk,Snake,44,112,147,887,0.0496054114994363,0.1262683201803833,0.1657271702367531,2.370505344995141,1.2451946460443928
Death Scythe,Demonic Flask,70,145,181,887,0.07891770011273957,0.16347237880496054,0.2040586245772266,2.3657839588493044,1.2423183341478903
Flawed Sapphire,Regular Sapphire,31,155,75,887,0.03494926719278467,0.17474633596392333,0.08455467869222097,2.3653333333333335,1.2420435089178208
Bloodthorne,Vampiric Armor,37,124,112,887,0.04171364148816235,0.13979706877113868,0.1262683201803833,2.3631192396313363,1.2406924274855342
Nocturnal Lock Lifter,Vampiric Armor,56,188,112,887,0.06313416009019165,0.21195039458850057,0.1262683201803833,2.359042553191489,1.2382014426234265
Doom Cap,Fly Agaric,54,160,127,887,0.060879368658399095,0.18038331454340473,0.14317925591882752,2.3571850393700786,1.2370650148050042
Flawed Topaz,Regular Emerald,51,232,83,887,0.05749718151071026,0.2615558060879369,0.0935738444193912,2.3492417947652675,1.2321952097980624
Strong Demonic Flask,Strong Divine Potion,25,126,75,887,0.02818489289740699,0.14205186020293123,0.08455467869222097,2.3465608465608465,1.2305478700799912
Fanfare,Star of Courage,36,88,155,887,0.040586245772266064,0.0992108229988726,0.17474633596392333,2.3410557184750735,1.2271592718318416
Cursed Dagger,Death Scythe,68,178,145,887,0.07666290868094701,0.20067643742953778,0.16347237880496054,2.336923672994963,1.2246106145700708
Flawed Emerald,Regular Topaz,58,178,124,887,0.06538895152198422,0.20067643742953778,0.13979706877113868,2.3308263863718737,1.220841548075363
Regular Amethyst,Regular Sapphire,24,122,75,887,0.02705749718151071,0.1375422773393461,0.08455467869222097,2.3265573770491805,1.218196766963453
Fanfare,Regular Ruby,24,88,104,887,0.02705749718151071,0.0992108229988726,0.11724915445321307,2.3260489510489513,1.2178814582438309
Mana Orb,Strong Mana Potion,36,312,44,887,0.040586245772266064,0.35174746335963925,0.0496054114994363,2.326048951048951,1.2178814582438304
No Rush Please,Snow Stick,63,109,221,887,0.07102593010146561,0.12288613303269448,0.2491544532130778,2.319772510274399,1.2139833336326225
Amulet of Alchemy,Strong Divine Potion,20,102,75,887,0.02254791431792559,0.11499436302142052,0.08455467869222097,2.3189542483660133,1.21347435672105
Pocket Sand,Sir Sand,71,111,245,887,0.08004509582863585,0.12514092446448705,0.2762119503945885,2.31575657289943,1.2114836084530693
Flame Badge,Miss Fortune,45,85,203,887,0.05073280721533258,0.09582863585118377,0.22886133032694475,2.313242538394668,1.2099165373078606
Blood Amulet,The Lovers,36,223,62,887,0.040586245772266064,0.25140924464487036,0.06989853438556934,2.3095616953565745,1.2076190854361963
Regular Amethyst,Regular Ruby,33,122,104,887,0.03720405862457723,0.1375422773393461,0.11724915445321307,2.3069829760403535,1.206007357955539
Flawed Ruby,Regular Topaz,59,183,124,887,0.0665163472378805,0.20631341600901917,0.13979706877113868,2.306231270932487,1.2055371949919873
Ice Armor,Snowball,22,30,283,887,0.02480270574971815,0.033821871476888386,0.31905298759864714,2.2984687868080096,1.2006730744979603
Cursed Dagger,Pestilence Flask,35,178,76,887,0.03945885005636979,0.20067643742953778,0.08568207440811725,2.2948698994677703,1.198412366836047
Death Scythe,Heavy Drinking,33,145,88,887,0.03720405862457723,0.16347237880496054,0.0992108229988726,2.2939655172413795,1.1978437050072857
Double Rainbow,Heart Container,24,58,160,887,0.02705749718151071,0.06538895152198422,0.18038331454340473,2.293965517241379,1.1978437050072854
King Goobert,Toad,73,79,358,887,0.08229988726042842,0.08906426155580609,0.4036076662908681,2.2894774061240364,1.1950183277397217
Regular Sapphire,Regular Topaz,24,75,124,887,0.02705749718151071,0.08455467869222097,0.13979706877113868,2.2890322580645157,1.1947377941394637
Holo Fire Lizard,Katana,20,132,59,887,0.02254791431792559,0.1488162344983089,0.0665163472378805,2.2778633795582945,1.1876812204681313
Strong Divine Potion,Strong Health Potion,25,75,130,887,0.02818489289740699,0.08455467869222097,0.14656144306651633,2.2743589743589743,1.1854599805514532
Strong Heroic Potion,Strong Vampiric Potion,24,180,52,887,0.02705749718151071,0.20293122886133033,0.058624577226606536,2.2743589743589743,1.1854599805514532
Regular Ruby,Regular Topaz,33,104,124,887,0.03720405862457723,0.11724915445321307,0.13979706877113868,2.2697735732009927,1.1825483851315501
Heavy Drinking,Stone Skin Potion,27,88,120,887,0.030439684329199548,0.0992108229988726,0.13528748590755355,2.267897727272727,1.1813555822187165
Nocturnal Lock Lifter,Pineapple,36,188,75,887,0.040586245772266064,0.21195039458850057,0.08455467869222097,2.26468085106383,1.179307753569858
Magic Torch,Mana Orb,35,44,312,887,0.03945885005636979,0.0496054114994363,0.35174746335963925,2.26143648018648,1.1772394737464846
Regular Emerald,Regular Ruby,22,83,104,887,0.02480270574971815,0.0935738444193912,0.11724915445321307,2.260658016682113,1.176742763450344
Strong Heroic Potion,Vampiric Potion,44,180,96,887,0.0496054114994363,0.20293122886133033,0.10822998872604284,2.2585648148148145,1.17540631588753
Cursed Dagger,Strong Demonic Flask,57,178,126,887,0.06426155580608793,0.20067643742953778,0.14205186020293123,2.2542803638309254,1.1726669539994912
Light Goobert,Sir Sand,33,53,245,887,0.03720405862457723,0.05975197294250282,0.2762119503945885,2.254216403542549,1.1726260200937475
Health Potion,Stone Armor,35,120,115,887,0.03945885005636979,0.13528748590755355,0.12965050732807215,2.2496376811594203,1.1696926646931367
Flawless Ruby,Nocturnal Lock Lifter,20,42,188,887,0.02254791431792559,0.04735062006764374,0.21195039458850057,2.246707193515704,1.1678121147320286
Pestilence Flask,Strong Health Potion,25,76,130,887,0.02818489289740699,0.08568207440811725,0.14656144306651633,2.2444331983805665,1.1663511576037484
Jimbo,Nocturnal Lock Lifter,29,61,188,887,0.03269447576099211,0.06877113866967305,0.21195039458850057,2.2430240669689576,1.1654451001881128
Flame,Miss Fortune,39,76,203,887,0.043968432919954906,0.08568207440811725,0.22886133032694475,2.242221934145709,1.1649290825345504
Reverse!,Strong Heroic Potion,20,44,180,887,0.02254791431792559,0.0496054114994363,0.20293122886133033,2.23989898989899,1.1634336742214544
Health Potion,Pestilence Flask,23,120,76,887,0.02593010146561443,0.13528748590755355,0.08568207440811725,2.2369517543859647,1.1615341413059725
Fancy Fencing Rapier,Gloves of Haste,38,136,111,887,0.04284103720405862,0.15332581736189402,0.12514092446448705,2.2327768945416007,1.1588391001442042
Flawed Ruby,Staff of Unhealing,23,183,50,887,0.02593010146561443,0.20631341600901917,0.05636978579481398,2.229617486338798,1.1567962222993096
Fly Agaric,Poison Frog,37,127,116,887,0.04171364148816235,0.14317925591882752,0.13077790304396844,2.2277355416779794,1.1555779780302753
Nocturnal Lock Lifter,Spiked Shield,25,188,53,887,0.02818489289740699,0.21195039458850057,0.05975197294250282,2.2255118426334803,1.1541371778349518
Regular Ruby,Vampiric Gloves,32,104,123,887,0.036076662908680945,0.11724915445321307,0.1386696730552424,2.218886804252658,1.149836070820732
Healing Herbs,Heart Container,56,140,160,887,0.06313416009019165,0.15783540022547915,0.18038331454340473,2.2175,1.148934104526339
Corrupted Armor,Crow,185,315,235,887,0.20856820744081173,0.3551296505073281,0.2649379932356257,2.216751097602161,1.1484467898650972
Blood Amulet,Healing Herbs,78,223,140,887,0.08793686583990981,0.25140924464487036,0.15783540022547915,2.2160794362588083,1.148009596298041
Healing Herbs,Vampiric Gloves,43,140,123,887,0.048478015783540024,0.15783540022547915,0.1386696730552424,2.214924506387921,1.1472575267189553
Nocturnal Lock Lifter,The Fool,23,188,49,887,0.02593010146561443,0.21195039458850057,0.0552423900789177,2.2146113764654793,1.147053554565231
Death Scythe,Strong Health Potion,47,145,130,887,0.05298759864712514,0.16347237880496054,0.14656144306651633,2.2116180371352785,1.1451022429353122
Chipped Ruby,Flawless Ruby,24,230,42,887,0.02705749718151071,0.2593010146561443,0.04735062006764374,2.203726708074534,1.1399453212990847
Cursed Dagger,Strong Pestilence Flask,49,178,111,887,0.0552423900789177,0.20067643742953778,0.12514092446448705,2.1997671829132504,1.1373508410997684
Leaf Badge,Snake,28,77,147,887,0.03156708004509583,0.08680947012401354,0.1657271702367531,2.1941867656153367,1.133686330827402
Flawed Emerald,Regular Sapphire,33,178,75,887,0.03720405862457723,0.20067643742953778,0.08455467869222097,2.1925842696629214,1.1326322921972387
Demonic Flask,Pestilence Flask,34,181,76,887,0.038331454340473504,0.2040586245772266,0.08568207440811725,2.1923524280314046,1.1324797350246125
Heavy Drinking,Stone Armor,25,88,115,887,0.02818489289740699,0.0992108229988726,0.12965050732807215,2.191205533596838,1.131724814494116
Fancy Fencing Rapier,Paradise Birb,58,136,173,887,0.06538895152198422,0.15332581736189402,0.19503945885005636,2.1865861951717105,1.128680220541572
Fancy Fencing Rapier,Toad,120,136,358,887,0.13528748590755355,0.15332581736189402,0.4036076662908681,2.1861649687808082,1.1284022713949864
Flute,Miss Fortune,62,124,203,887,0.06989853438556934,0.13979706877113868,0.22886133032694475,2.184729064039409,1.1274543771158876
Flawed Topaz,Flawless Ruby,24,232,42,887,0.02705749718151071,0.2615558060879369,0.04735062006764374,2.1847290640394084,1.1274543771158874
Katana,Paradise Birb,25,59,173,887,0.02818489289740699,0.0665163472378805,0.19503945885005636,2.1725286568041535,1.1193752070772223
Regular Emerald,Vampiric Gloves,25,83,123,887,0.02818489289740699,0.0935738444193912,0.1386696730552424,2.172103046331668,1.119092547389624
Heroic Potion,Vampiric Potion,31,132,96,887,0.03494926719278467,0.1488162344983089,0.10822998872604284,2.1699021464646466,1.1176299846083295
It’s Slime Time!,Paradise Birb,22,52,173,887,0.02480270574971815,0.058624577226606536,0.19503945885005636,2.1691863050244553,1.1171539671605444
Flawed Sapphire,Regular Topaz,47,155,124,887,0.05298759864712514,0.17474633596392333,0.13979706877113868,2.1690426638917795,1.1170584303175886
Amulet of Steel,Smelly Wall,28,132,87,887,0.03156708004509583,0.1488162344983089,0.09808342728297632,2.162661093695576,1.112807601151486
Health Potion,Strong Health Potion,38,120,130,887,0.04284103720405862,0.13528748590755355,0.14656144306651633,2.160641025641026,1.1114593991076764
Leaf Badge,Ruby Chonk,21,77,112,887,0.02367531003382187,0.08680947012401354,0.1262683201803833,2.159902597402597,1.1109662543273184
Box of Riches,Flawed Ruby,45,101,183,887,0.05073280721533258,0.11386696730552424,0.20631341600901917,2.1595520207758483,1.1107320695949014
Box of Riches,Regular Amethyst,30,101,122,887,0.033821871476888386,0.11386696730552424,0.1375422773393461,2.159552020775848,1.1107320695949012
Mrs. Struggles,No Rush Please,92,347,109,887,0.10372040586245772,0.39120631341600903,0.12288613303269448,2.157523200169209,1.1093760730028894
