round,item_name,matches_reached,usage_matches,usage_rate,wins,winrate_pct
1,Goobert,477,11,0.023060796645702306,9,81.81818181818183
1,Flame Badge,477,10,0.020964360587002098,8,80.0
1,Amulet of Life,477,10,0.020964360587002098,7,70.0
1,Leather Boots,477,9,0.018867924528301886,8,88.88888888888889
1,Amulet of Steel,477,9,0.018867924528301886,8,88.88888888888889
1,Puzzle Badge,477,9,0.018867924528301886,7,77.77777777777779
1,Bag of Stones,477,8,0.016771488469601678,7,87.5
1,Heroic Potion,477,8,0.016771488469601678,6,75.0
1,Rainbow Badge,477,7,0.014675052410901468,7,100.0
1,Leaf Badge,477,7,0.014675052410901468,2,28.57142857142857
1,Pineapple,477,6,0.012578616352201259,6,100.0
1,Amulet of Fortune,477,6,0.012578616352201259,5,83.33333333333334
1,Wolf Badge,477,5,0.010482180293501049,5,100.0
1,Pestilence Flask,477,5,0.010482180293501049,4,80.0
1,Corrupted Crystal,477,5,0.010482180293501049,3,60.0
1,Mana Orb,477,5,0.010482180293501049,1,20.0
1,Ace of Spades,477,4,0.008385744234800839,3,75.0
1,Demonic Flask,477,4,0.008385744234800839,1,25.0
1,Oil Lamp,477,3,0.006289308176100629,3,100.0
1,Flute,477,3,0.006289308176100629,2,66.66666666666666
1,Amulet of Energy,477,2,0.0041928721174004195,2,100.0
1,Blood Amulet,477,2,0.0041928721174004195,2,100.0
1,Amulet of Feasting,477,2,0.0041928721174004195,1,50.0
1,Toad,477,2,0.0041928721174004195,1,50.0
1,Thorn Whip,477,1,0.0020964360587002098,1,100.0
1,Forging Hammer,477,1,0.0020964360587002098,1,100.0
1,Cap of Resilience,477,1,0.0020964360587002098,1,100.0
1,Reverse!,477,1,0.0020964360587002098,0,0.0
2,Leather Bag,477,475,0.9958071278825996,407,85.68421052631578
2,Piggybank,477,307,0.6436058700209644,253,82.41042345276874
2,Relic Case,477,254,0.5324947589098532,208,81.88976377952756
2,Storage Coffin,477,223,0.46750524109014674,201,90.13452914798206
2,Garlic,477,221,0.46331236897274636,191,86.42533936651584
2,Broom,477,209,0.4381551362683438,170,81.3397129186603
2,Banana,477,203,0.42557651991614254,183,90.14778325123153
2,Shiny Shell,477,181,0.37945492662473795,160,88.39779005524862
2,Healing Herbs,477,178,0.3731656184486373,154,86.51685393258427
2,Fanny Pack,477,164,0.3438155136268344,144,87.8048780487805
2,Stone,477,136,0.2851153039832285,119,87.5
2,Lump of Coal,477,110,0.23060796645702306,92,83.63636363636363
2,Wooden Sword,477,105,0.22012578616352202,88,83.80952380952381
2,Pocket Sand,477,105,0.22012578616352202,86,81.9047619047619
2,Shell Totem,477,100,0.20964360587002095,92,92.0
2,Wooden Buckler,477,88,0.18448637316561844,77,87.5
2,Fly Agaric,477,86,0.18029350104821804,78,90.69767441860465
2,Health Potion,477,83,0.1740041928721174,75,90.36144578313254
2,Spear,477,80,0.16771488469601678,75,93.75
2,Walrus Tusk,477,80,0.16771488469601678,65,81.25
2,Pan,477,77,0.16142557651991615,66,85.71428571428571
2,Star of Courage,477,74,0.15513626834381553,64,86.48648648648648
2,Shovel,477,67,0.14046121593291405,49,73.13432835820896
2,Deck of Cards,477,65,0.13626834381551362,57,87.6923076923077
2,Whetstone,477,61,0.1278825995807128,58,95.08196721311475
2,Chipped Ruby,477,54,0.11320754716981132,44,81.48148148148148
2,The Lovers,477,51,0.1069182389937107,45,88.23529411764706
2,Chipped Amethyst,477,51,0.1069182389937107,42,82.35294117647058
2,Chipped Emerald,477,49,0.10272536687631027,42,85.71428571428571
2,Hammer,477,44,0.09224318658280922,42,95.45454545454545
2,Leather Armor,477,36,0.07547169811320754,30,83.33333333333334
2,Stamina Sack,477,36,0.07547169811320754,29,80.55555555555556
2,Hero Sword,477,35,0.07337526205450734,29,82.85714285714286
2,Blueberries,477,34,0.07127882599580712,30,88.23529411764706
2,Stone Badge,477,32,0.06708595387840671,29,90.625
2,Chipped Topaz,477,31,0.0649895178197065,25,80.64516129032258
2,Torch,477,30,0.06289308176100629,27,90.0
2,Customer Card,477,29,0.06079664570230608,25,86.20689655172413
2,Dagger,477,28,0.05870020964360587,26,92.85714285714286
2,Spiked Shield,477,28,0.05870020964360587,24,85.71428571428571
2,Box of Riches,477,27,0.05660377358490566,19,70.37037037037037
2,Bag of Stones,477,26,0.05450733752620545,21,80.76923076923077
2,Chipped Sapphire,477,21,0.0440251572327044,19,90.47619047619048
2,Amulet of Darkness,477,20,0.041928721174004195,18,90.0
2,Leaf Badge,477,20,0.041928721174004195,17,85.0
2,Goobert,477,20,0.041928721174004195,14,70.0
2,Amulet of the Wild,477,19,0.039832285115303984,17,89.47368421052632
2,Amulet of Alchemy,477,19,0.039832285115303984,15,78.94736842105263
2,Amulet of Steel,477,15,0.031446540880503145,14,93.33333333333333
2,Potion Belt,477,15,0.031446540880503145,14,93.33333333333333
2,Amulet of Life,477,15,0.031446540880503145,12,80.0
2,Gloves of Haste,477,15,0.031446540880503145,11,73.33333333333333
2,Flame Badge,477,14,0.029350104821802937,10,71.42857142857143
2,Claws of Attack,477,13,0.027253668763102725,12,92.3076923076923
2,Ace of Spades,477,13,0.027253668763102725,11,84.61538461538461
2,Puzzle Badge,477,12,0.025157232704402517,10,83.33333333333334
2,Strong Health Potion,477,11,0.023060796645702306,10,90.9090909090909
2,Flame,477,11,0.023060796645702306,9,81.81818181818183
2,Rainbow Badge,477,10,0.020964360587002098,10,100.0
2,Leather Boots,477,8,0.016771488469601678,8,100.0
2,Hungry Blade,477,7,0.014675052410901468,7,100.0
2,Wolf Badge,477,7,0.014675052410901468,7,100.0
2,Eggscalibur,477,6,0.012578616352201259,5,83.33333333333334
2,Pineapple,477,6,0.012578616352201259,5,83.33333333333334
2,Shelly,477,6,0.012578616352201259,5,83.33333333333334
2,Flute,477,6,0.012578616352201259,5,83.33333333333334
2,Thorn Whip,477,5,0.010482180293501049,5,100.0
2,Pandamonium,477,5,0.010482180293501049,5,100.0
2,Amulet of Energy,477,5,0.010482180293501049,5,100.0
